user_query,expected_output,tags
"What is a large language model?","Large Language Models | Introduction to Neural Networks | Python Programming Language","rag_pipeline"
"How do neural networks work?","How Neural Networks Work | Large Language Models","rag_pipeline"
"Tell me about Kubernetes","Introduction to Kubernetes | Python Programming Language","rag_pipeline"
"What programming language is good for AI?","Python Programming Language | How Neural Networks Work | Large Language Models","rag_pipeline"
"How do I bake bread at home?","Baking Bread at Home | Pasta from Scratch | French Cuisine Basics","rag_pipeline"
"What ingredients do I need for pasta?","Pasta from Scratch | Baking Bread at Home | Vegetarian Recipes","rag_pipeline"
"What are some vegetarian recipes?","Vegetarian Recipes | Pasta from Scratch | French Cuisine Basics","rag_pipeline"
"What are the Grand Slam tennis tournaments?","Tennis Grand Slams | History of Basketball | Introduction to Football","rag_pipeline"
"When were the modern Olympics founded?","Olympic Games History | History of Basketball | Introduction to Football","rag_pipeline"
"How was basketball invented?","History of Basketball | Introduction to Football | Olympic Games History","rag_pipeline"
"Tips for budget travel","Budget Travel Tips | Backpacking South-East Asia | European Rail Travel","rag_pipeline"
"What is Japan known for?","Travelling to Japan | Backpacking South-East Asia | Budget Travel Tips","rag_pipeline"
"How can I travel Europe by train?","European Rail Travel | Travelling to Japan | Budget Travel Tips","rag_pipeline"
"What is French cooking?","French Cuisine Basics | Pasta from Scratch | Vegetarian Recipes","rag_pipeline"
